Name
Robert De Niro
Gene Kelly
Fred Astaire
Bradley Cooper
Jude Law
Robert Pattinson
Paul Giamatti
Forest Whitaker
Jared Leto
Jonah Hill
Michael Fassbender
Carol Burnett
Jessica Tandy
Helen Hunt
Patricia Arquette
Carmen Miranda
Kate Hudson
Catherine Zeta-Jones
Cameron Diaz
Debbie Reynolds
Rita Hayworth
Maureen O'Hara
Myrna Loy
Lena Headey
Toni Collette
Laura Linney
Marlene Dietrich
Carole Lombard
Jean Arthur
Jean Harlow
Ginger Rogers
Mary Pickford
Mae West
Gillian Anderson
Emma Watson
Meg Ryan
Alan Arkin
Benedict Cumberbatch
Chris Hemsworth
Henry Cavill
Tom Hardy
Jean Dujardin
Colin Firth
Jamie Foxx
Adrien Brody
Roberto Benigni
Jeremy Irons
William Hurt
F. Murray Abraham
Richard Dreyfuss
Peter Finch
Art Carney
Cliff Robertson
Rod Steiger
Chris Pratt
Lee Marvin
Rex Harrison
Maximilian Schell
David Niven
Yul Brynner
Ernest Borgnine
Chloë Grace Moretz
Anna Kendrick
Emily Watson
Helena Bonham Carter
Keira Knightley
Alexis Thorpe
Marion Davies
Scarlett Johansson
Dakota Fanning
Jennifer Aniston
Jennifer Connelly
Rachel McAdams
Carey Mulligan
Mila Kunis
Amanda Seyfried
Jennifer Lopez
Neve Campbell
Fairuza Balk
Jessica Alba
Kristen Stewart
Julie Walters
Rooney Mara
Jamie Lee Curtis
Emma Stone
Kirsten Dunst
José Ferrer
Broderick Crawford
Ronald Colman
Fredric March
Ray Milland
Bing Crosby
Paul Lukas
Robert Donat
Paul Muni
Victor McLaglen
Charles Laughton
Wallace Beery
Kurt Russell
Lionel Barrymore
Jeff Goldblum
Warner Baxter
Emil Jannings
Chris Cooper
Jim Broadbent
James Coburn
Cuba Gooding Jr.
Martin Landau
Jack Palance
Kevin Kline
Don Ameche
Kate Beckinsale
Zooey Deschanel
Michelle Williams
Milla Jovovich
Selena Gomez
Rachel Weisz
Kristen Bell
Katherine Heigl
Liv Tyler
Jessica Chastain
Megan Fox
Betty White
Geraldine Page
Eliza Dushku
Robin Wright
Leighton Meester
Viola Davis
Shirley Temple
Julia Louis-Dreyfus
Olivia Thirlby
Cher
Penélope Cruz
Louise Fletcher
Julie Christie
Patricia Neal
Haing S. Ngor
Louis Gossett Jr.
John Gielgud
Timothy Hutton
Melvyn Douglas
Jason Robards
George Burns
John Houseman
Ethan Hawke
Ben Johnson
John Mills
Gig Young
Jack Albertson
George Kennedy
Walter Matthau
Martin Balsam
Peter Ustinov
Ed Begley
George Chakiris
Hugh Griffith
Burl Ives
Red Buttons
Anthony Quinn
Edmond O'Brien
Frank Sinatra
Anne Bancroft
Kim Novak
Simone Signoret
Ellen Page
Anna Magnani
Judy Holliday
Loretta Young
Shirley Jones
Vera Farmiga
Helen Hayes
Marie Dressler
Janet Gaynor
Lupita Nyong'o
Octavia Spencer
Melissa Leo
Mo'Nique
Marlee Matlin
Tilda Swinton
Jennifer Hudson
Renée Zellweger
Marcia Gay Harden
Anna Paquin
Marisa Tomei
Mercedes Ruehl
Brenda Fricker
Jean Reno
George Sanders
Dean Jagger
Walter Huston
Edmund Gwenn
Harold Russell
Hugh Grant
Barry Fitzgerald
Charles Coburn
Van Heflin
Donald Crisp
Thomas Mitchell
Walter Brennan
Joseph Schildkraut
